Total Depth,Central Tank Battery,fluid_gal,fluid_gal_per_ft,propp_lbs,propp_lbs_per_ft,max_treat_press,max_treat_rate,cum_oil_365
18651,121849,1114351,117,2113171,223,4565,39.6,45041
19015,121850,1025665,103,2127769,214,5243,39.4,54547
17675,121871,1482558,163,1830500,201,3833,32,79878
19088,121872,2532348,264,3535070,369,5570,31,54071
19196,221888,2140521,211,1910900,188,7935,54.1,67536
18511,121910,1444589,152,1740000,184,4413,26.9,73302
18950,121911,1612044,222,1829162,252,4413,26.9,60487
18617,121948,2587536,276,1462420,156,8800,25,27093
18458,221996,2144562,213,1890067,188,8800,51.4,75951
18894,122019,1769334,190,1768500,190,8427,23,104007
18358,122020,1769334,191,1768500,191,8427,23,71944
19043,122052,1050962,109,849433,88,9529,24.35,41289
18382,122053,1439088,160,1185354,132,9822,35,34065
19148,122107,2336418,243,3484710,363,5330,31,36373
19333,122124,2877588,286,1289360,128,8494,25,42686
18245,122166,1291156.403,260.368984,681999.4623,143.8723917,9761.755793,11.15172486,17604
18595,221996,2034900,201,1500000,148,8448,61.7,83484
18596,221996,2232720,220,1484800,146,8562,61.3,99860
19170,122284,2280222,236,3866550,401,5840,31,33238
16017,122385,1275708,166,1536440,200,9233,36.1,92392
18143,222471,2141664,213,2046000,204,8591,61.4,136601
15822,122474,1636614,218,2048010,273,9995,35.4,74102
18633,222483,720384,71,1020294,101,6096,17.8,37940
18325,122516,2190720,216,1479420,146,7821,62,108990
19430,122540,2505888,259,3854134,399,8500,31,37497
19316,122591,2353890,241,3711170,380,6220,31,31663
19200,122601,1769334,212,2056045,246,6039,27,30558
19200,122602,1660050,173,2026000,211,8251,18.8,34708
18830,122616,2088912,227,3059720,332,5280,31,126245
14600,122699,1890630,320,2043720,346,6702,24.5,32379
18095,122717,2082024,211,1978341,200,8473,60.5,69244
17660,122732,1495998,166,524390,58,9214,35.7,123972
18657,122733,2101932,70064,3067366,102245,5845,31.2,36294
19314,122735,2190762,206,3097938,292,6235,31,31893
18266,122744,1365336,139,1443639,147,9800,34,67181
19390,122781,1765554,198,1590571,178,4172,30,68040
18302,122782,1802580,195,1664095,180,4175,25.6,27313
19414,122784,2066232,225,2805000,305,7400,35,32420
18559,222793,1967910,194,1967257,194,8712,61.3,70492
17485,122809,758688,82,989131,107,6216,15.9,34253
17630,122960,2151954,210,2429819,237,8579,51.6,81790
14400,122961,1886640,317,1959800,329,8857,29.7,73128
18140,221579,1012494,101,1001196,100,6893,20.4,62481
13829,221579,793506,140,1026445,182,7075,15,54348
18305,221579,906318,90,997009,99,6897,16.1,61272
19138,123070,1841784,190,3102800,320,5500,30,76077
18684,123077,2087232,218,3032469,316,5374,32,75582
18954,123078,2106510,214,3054468,311,7016,30.8,86254
19115,123103,1900794,189,2357660,234,10281,51,68371
17650,123156,769188,81,1000697,106,6094,15.2,78484
18527,222483,755580,75,981255,98,7527,15.9,42332
19089,123187,1895502,195,2776960,286,5650,31,51933
19110,223217,2037420,201,2012000,198,8761,62.9,72012
19098,123231,1769334,181,312859,32,6039,27,14071
18964,123233,2192442,242,2709659,299,6372,30.4,29852
14111,223508,1307880,220,1480746,249,6518,35.5,78892
18400,123240,1493097,8,1656000,9,6075,28,61464
17300,123321,1822338,198,1607080,175,7950,35,105969
18496,123322,2042208,228,2787584,311,5659,32.4,36657
