DEPTH,VP,VS,RHO_OLD,GR,NPHI,RHO,SW,SWX,VPVS,IP,IS,VSH,RHOm, RHOfluid,PHI,LFC
2350.8188,2963.8,1351.6,2.2039,59.3083,0.2967,2.20625599999998,1.0,1.0,2.19280852323173,6538.90153279995,2981.97560959998,0.124110405574508,2.66985766489192,1.09,0.293445210409923,1.0
2350.9712,2898.4,1352.6,2.2156,61.5335,0.3229,2.22596799999999,1.0,1.0,2.14283601951796,6451.74565119997,3010.84431679999,0.149355430482585,2.67389686887721,1.09,0.282801789484406,1.0
2351.1235,2955.9,1352.6,2.2437,70.7085,0.3276,2.24776000000004,1.0,1.0,2.1853467396126,6644.15378400012,3040.32017600006,0.253446345246023,2.69055141523936,1.09,0.276649291627474,0.0
2351.2759,2971.2,1352.4,2.2603,81.724,0.347,2.25544599999999,1.0,1.0,2.19698314108252,6701.38115519997,3050.26517039999,0.378417840785713,2.71054685452571,1.09,0.280831654607678,0.0
2351.4285,3020.5,1403.6,2.248,91.2527,0.3247,2.24287000000001,1.0,1.0,2.15196637218581,6774.58883500004,3148.09233200002,0.486521502857253,2.72784344045716,1.09,0.296104883090522,0.0
2351.5808,3018.4,1425.6,2.2297,92.902,0.3223,2.22515199999998,1.0,1.0,2.11728395061728,6716.39879679995,3172.17669119998,0.505232908385246,2.73083726534164,1.09,0.30818733583331,0.0
2351.7332,2965.3,1374.7,2.2185,92.0269,0.3138,2.21235599999997,1.0,1.0,2.15705244780679,6560.29924679991,3041.32579319996,0.495304847403286,2.72924877558453,1.09,0.315322959689412,0.0
2351.8855,2976.0,1400.4,2.2006,85.4848,0.3197,2.19116750000003,1.0,1.0,2.12510711225364,6520.91448000008,3068.51096700004,0.421084338032835,2.71737349408525,1.09,0.323346789165327,0.0
2352.0381,3005.7,1341.4,2.1781,77.2232,0.3196,2.17266599999997,1.0,1.0,2.24071865215447,6530.3821961999,2914.41417239995,0.327356000004538,2.70237696000073,1.09,0.328527988889473,0.0
2352.1904,3022.2,1370.1,2.1636,64.6856,0.3101,2.164,1.0,1.0,2.20582439238012,6540.0408,2964.8964,0.185116190420005,2.6796185904672,1.09,0.324366230716801,1.0
2352.3428,3028.7,1375.1,2.164,60.4916,0.295,2.16613999999999,1.0,1.0,2.20253072503818,6560.58821799996,2978.65911399998,0.137535013687813,2.67200560219005,1.09,0.31976220658749,1.0
2352.4951,3052.2,1373.9,2.1687,58.5223,0.2783,2.1723285,1.0,1.0,2.22155906543417,6630.38104770001,2984.56212615,0.115193189334283,2.66843091029349,1.09,0.314300997945637,1.0
2352.6477,3063.9,1375.0,2.1765,61.0045,0.2727,2.18077000000001,1.0,1.0,2.22829090909091,6681.66120300004,2998.55875000002,0.143353894361619,2.67293662309786,1.09,0.310919979938717,1.0
2352.8,3040.8,1375.0,2.1862,59.3018,0.2747,2.18950000000001,1.0,1.0,2.21149090909091,6657.83160000002,3010.56250000001,0.124036662692114,2.66984586603074,1.09,0.304046031552159,1.0
2352.9524,3039.0,1377.5,2.1934,59.6621,0.2744,2.191166,1.0,1.0,2.20617059891107,6658.95347399999,3018.331165,0.128124287388492,2.67049988598216,1.09,0.303279924429917,1.0
2353.1047,3047.1,1379.0,2.1865,59.0814,0.2749,2.185906,1.0,1.0,2.20964467005076,6660.6741726,3014.364374,0.121536211726026,2.66944579387616,1.09,0.30614522875742,1.0
2353.2571,3057.0,1432.0,2.1844,59.0048,0.2942,2.184571,1.0,1.0,2.13477653631285,6678.233547,3128.305672,0.120667180219663,2.66930674883515,1.09,0.306929448121889,1.0
2353.4097,3062.8,1431.7,2.1859,59.1212,0.2845,2.18677600000001,1.0,1.0,2.13927498777677,6697.65753280002,3130.80719920001,0.121987745067452,2.66951803921079,1.09,0.305626163948079,1.0
2353.562,3058.7,1434.5,2.1935,59.4898,0.2741,2.19307,1.0,1.0,2.13224119902405,6707.943209,3145.958915,0.126169533752117,2.67018712540034,1.09,0.301937104619468,1.0
2353.7144,3067.0,1435.7,2.1911,60.4352,0.2625,2.190856,1.0,1.0,2.13624016159365,6719.355352,3145.4119592,0.136895152369813,2.67190322437917,1.09,0.304093965399154,1.0
2353.8667,3054.9,1405.5,2.1902,59.4082,0.2778,2.188666,1.0,1.0,2.1735325506937,6686.15576340001,3076.170063,0.125243776951605,2.67003900431226,1.09,0.304658937531597,1.0
2354.0193,3076.0,1416.6,2.1862,58.6809,0.2972,2.187351,1.0,1.0,2.1713963010024,6728.29167599999,3098.6014266,0.11699251566469,2.66871880250635,1.09,0.304910413268114,1.0
2354.1716,3069.6,1416.8,2.1926,58.328,0.2962,2.19479,1.0,1.0,2.16657255787691,6737.12738400001,3109.578472,0.112988844403653,2.66807821510458,1.09,0.299914294852119,1.0
2354.324,3065.5,1401.4,2.1978,57.4684,0.2997,2.19752,1.0,1.0,2.18745540174112,6736.49756000001,3079.604528,0.103236631833554,2.66651786109337,1.09,0.297489722551003,1.0
2354.4763,3035.9,1403.9,2.1964,58.2877,0.2954,2.195237,1.0,1.0,2.1624759598262,6664.52000830001,3081.8932243,0.112531638532812,2.66800506216525,1.09,0.299598571323049,1.0
2354.6289,3035.5,1403.9,2.1944,57.3434,0.3032,2.19255499999999,1.0,1.0,2.16219103924781,6655.50070249996,3078.12796449998,0.101818499479829,2.66629095991677,1.09,0.300538398026339,1.0
2354.7812,3034.6,1407.7,2.1889,59.103,0.2945,2.187376,1.0,1.0,2.15571499609292,6637.8112096,3079.1691952,0.12178126499675,2.66948500239948,1.09,0.305231769638256,1.0
2354.9336,3043.1,1411.4,2.1851,59.9325,0.2808,2.18298400000001,1.0,1.0,2.15608615559019,6643.03861040004,3081.06361760002,0.131191991296071,2.67099071860737,1.09,0.308671463319673,1.0
2355.0859,3045.9,1413.2,2.1786,61.8418,0.2881,2.1802885,1.0,1.0,2.15532125672233,6640.94074215,3081.1837082,0.152853112119813,2.67445649793917,1.09,0.311884863094639,1.0
2355.2383,3055.4,1428.5,2.1819,62.5631,0.2953,2.182,1.0,1.0,2.13888694434722,6666.8828,3116.987,0.161036303053749,2.6757658084886,1.09,0.311373726085827,1.0
2355.3909,3059.9,1458.6,2.1817,61.3858,0.307,2.1824545,1.0,1.0,2.09783353901001,6678.09252454999,3183.3281337,0.147679765293423,2.67362876244695,1.09,0.310157452361505,1.0
2355.5432,3062.4,1456.6,2.1828,63.1324,0.2886,2.182136,1.0,1.0,2.10243031717699,6682.57328639999,3178.4992976,0.167495045045556,2.67679920720729,1.09,0.311736484969564,1.0
2355.6956,3063.5,1467.1,2.1815,61.9028,0.2824,2.182912,1.0,1.0,2.08813305159839,6687.350912,3202.5501952,0.153545160708431,2.67456722571335,1.09,0.310277290691793,1.0
2355.8479,3059.7,1473.2,2.185,62.6921,0.2764,2.185479,1.0,1.0,2.07690741243551,6686.9100963,3219.6476628,0.162499815642794,2.67599997050285,1.09,0.309281828263417,1.0
2356.0005,3045.2,1474.5,2.1859,58.9186,0.2834,2.1854975,1.0,1.0,2.06524245506951,6655.276987,3222.51606375,0.119689236148534,2.66915027778377,1.09,0.306274066875093,1.0
2356.1528,3046.8,1414.8,2.185,60.1973,0.2921,2.184208,1.0,1.0,2.15351993214589,6654.84493440001,3090.2174784,0.134196162874203,2.67147138605987,1.09,0.308107620760597,1.0
2356.3052,3048.0,1414.8,2.1821,60.5317,0.2977,2.182,1.0,1.0,2.15436810856658,6650.736,3087.0936,0.137989950546889,2.6720783920875,1.09,0.309768715974219,1.0
2356.4575,3048.9,1411.1,2.1824,62.2739,0.3128,2.186025,1.0,1.0,2.16065480830558,6664.97162249999,3084.69987749999,0.157755312040171,2.67524084992643,1.09,0.308606638511199,1.0
2356.6101,3034.9,1407.8,2.1958,61.7796,0.311,2.196101,1.0,1.0,2.15577496803523,6664.9469249,3091.6709878,0.152147449460599,2.6743435919137,1.09,0.301855351550377,1.0
2356.7625,3030.1,1416.3,2.1975,60.477,0.3144,2.20075,1.0,1.0,2.13944785709242,6668.49257499998,3116.92222499999,0.137369375828898,2.67197910013262,1.09,0.297873151480398,1.0
2356.9148,3012.7,1428.3,2.2087,58.872,0.2846,2.208704,1.0,1.0,2.1092907652454,6654.1625408,3154.6919232,0.119160556407065,2.66906568902513,1.09,0.291540556054602,1.0
