API,bottom,file_number,fluid_bbl,fluid_bbl_per_ft,fluid_gal,fluid_gal_per_ft,ft_per_stage,lateral_length,max_treat_press,max_treat_rate,propp_lbs,propp_lbs_per_ft,stages,top,treatment_date
33061030650000,20455,28096,45326,4,1903692,194,279,9793,8789,29.7,1762046,179,35,10662,11/22/14
33061031320000,20977,28522,91769,9,3854298,407,225,9459,8806,40.5,4259089,450,42,11518,11/22/14
33053059080000,21221,28311,84590,8,3552780,363,325,9771,8308,36,3803448,389,30,11450,11/21/14
33105035910000,17665,28724,30320,3,1273440,160,318,7957,7677,31,1704710,214,25,9708,11/21/14
33105028460000,19238,24062,76457,8,3211194,361,253,8888,7477,35.4,3534855,397,35,10350,11/20/14
33105036280000,22869,28938,300437,25,12618354,1069,294,11799,8714,71,5730489,485,40,11070,11/20/14
33053056800000,20057,27654,62268,6,2615256,289,257,9028,9200,37.5,4033161,446,35,11029,11/20/14
33025006560000,19780,16754,38861,4,1632162,182,297,8926,6096,31.6,1815380,203,30,10854,11/20/14
33025026060000,21453,28874,89362,9,3753233,378,381,9927,9101,42,3487325,351,26,11526,11/19/14
33105036600000,15305,29079,96641,22,4058922,945,171,4292,8479,41,4969136,1157,25,11013,11/19/14
33053055700000,16432,27355,51253,8,2152626,370,145,5817,8497,36,2177860,374,40,10615,11/19/14
33025022580000,21753,26308,58033,5,2437386,235,295,10330,9067,32.7,2377142,230,35,11423,11/19/14
33023011110000,14385,26583,28991,4,1217635,205,228,5934,10742,35.5,833035,140,26,8451,11/19/14
33105033730000,19465,27332,53141,5,2231922,230,276,9670,8216,31.2,3457063,357,35,9795,11/18/14
33061029740000,21026,27682,52207,4,2192694,209,299,10480,8168,31,3490295,333,35,10546,11/18/14
33105035900000,16388,28723,47786,7,2007012,300,190,6674,7873,31,2327261,348,35,9714,11/18/14
33053056600000,20737,27585,52639,5,2210838,240,306,9198,8460,41,3302483,359,30,11539,11/18/14
33105036270000,22942,28937,164296,13,6900432,585,294,11777,8912,50,7942187,674,40,11165,11/18/14
33053057220000,21213,27798,41243,3,1732206,163,302,10571,8034,26.5,2453133,232,35,10642,11/18/14
33025026070000,21282,28875,81222,8,3411359,350,374,9746,8858,42.79,3695858,379,26,11536,11/18/14
33061005630000,19711,16772,20450,2,858940,98,8721,8721,0,86,386420,44,1,10990,11/17/14
33053059040000,21243,28301,81275,8,3413550,349,325,9765,8865,39,3738970,382,30,11478,11/17/14
33053059090000,21047,28312,88987,9,3737454,396,314,9429,8509,37,3703649,392,30,11618,11/17/14
33053058280000,21097,28168,78080,7,3279360,323,281,10147,11029,37.8,4570860,450,36,10950,11/17/14
33053060090000,21924,28577,86454,9,3631068,404,299,8984,8642,40,3467677,385,30,12940,11/17/14
33053058650000,21180,28218,86000,9,3612000,379,317,9510,87223,39,3584500,376,30,11670,11/17/14
33089008390000,20033,28503,48822,5,2050524,219,103,9355,9209,26.7,1735048,185,90,10678,11/16/14
33025007710000,20328,17316,42705,4,1793610,191,312,9387,6767,34.1,1564300,166,30,10941,11/15/14
33025024000000,21100,27286,112828,11,4738776,497,297,9534,8494,55.9,2236277,234,32,11566,11/15/14
33061029720000,21152,27680,47542,4,1996764,188,303,10610,7859,30,3139202,295,35,10542,11/15/14
33053055730000,20554,27362,263340,28,11060280,1191,272,9279,8839,90,3891385,419,34,11275,11/15/14
33053057510000,19525,27918,92065,10,3866730,423,276,9136,9058,37.9,4042460,442,33,10389,11/15/14
33025022590000,21660,26309,44945,4,1887690,182,294,10316,8284,31.8,2388676,231,35,11344,11/15/14
33053044010000,20784,23814,82973,8,3484866,372,301,9361,8273,37,3761753,401,31,11423,11/14/14
33061032120000,20032,28906,288887,31,12133254,1305,232,9296,9340,82,5545200,596,40,10736,11/14/14
